year,mileage_km,fuel_type,price_pln,brand,model,power,gearbox,drive,fuel_consumption_outside_city,fuel_consumption_in_city,body_type,color,country_of_origin,accident_free,condition
2024,1.0,Benzyna,255500.0,Audi,Q5 Sportback,204.0,Automatyczna,4X4,7.0,9.0,SUV,Szary,Polska,Tak,Nowe
2015,133800.0,Benzyna,81900.0,Audi,Q5,272.0,Automatyczna,4X4,6.0,11.0,SUV,Szary,Polska,Nie,Używane
2022,81775.0,Diesel,124900.0,Audi,A4,163.0,Automatyczna,Front,4.947841306884481,4.0,Kombi,Czarny,Polska,Tak,Używane
2024,1.0,Benzyna,255500.0,Audi,Q5 Sportback,204.0,Automatyczna,4X4,7.0,9.0,SUV,Szary,Polska,Tak,Nowe
2014,191000.0,Diesel,69900.0,Audi,A3,184.0,Automatyczna,4X4,4.4,5.5,Kompakt,Czarny,Niemcy,Tak,Używane
2010,359000.0,Diesel,69000.0,Audi,Q7,233.0,Automatyczna,4X4,8.0,14.0,SUV,Czarny,Polska,Nie,Używane
2016,193960.0,Diesel,68700.0,Audi,A4,190.0,Automatyczna,Front,3.0,4.0,Sedan,Czarny,Polska,Nie,Używane
2002,260000.0,Diesel,12900.0,Audi,A4,130.0,Manualna,Front,4.947841306884481,7.0,Sedan,Srebrny,Polska,Nie,Używane
2024,1.0,Benzyna,147429.0,Audi,A3,150.0,Automatyczna,Front,4.947841306884481,6.0,Sedan,Szary,Polska,Tak,Nowe
2015,125000.0,Benzyna,119000.0,Audi,RS3,367.0,Automatyczna,4X4,6.0,11.0,Kompakt,Czerwony,Polska,Nie,Używane
2017,129000.0,Benzyna,130000.0,Audi,S4,354.0,Automatyczna,4X4,5.0,9.0,Sedan,Niebieski,Stany Zjednoczone,Nie,Używane
2015,177000.0,Diesel,37999.0,Audi,A8,385.0,Automatyczna,4X4,4.947841306884481,9.4,Sedan,Czarny,Polska,Nie,Używane
2021,36800.0,Diesel,380000.0,Audi,A8,286.0,Automatyczna,4X4,5.0,8.0,Sedan,Czarny,Polska,Tak,Używane
2015,140579.0,Diesel,66900.0,Audi,A4,150.0,Manualna,Front,3.0,4.0,Sedan,Inny kolor,Belgia,Tak,Używane
2007,310000.0,Diesel,29900.0,Audi,A6,233.0,Automatyczna,4X4,6.0,11.0,Kombi,Czarny,Niemcy,Tak,Używane
2011,116000.0,Diesel,25500.0,Audi,A3,90.0,Manualna,Front,3.0,5.0,Coupe,Czarny,Polska,Tak,Używane
2022,29000.0,Benzyna,159900.0,Audi,Q3,245.0,Automatyczna,4X4,4.947841306884481,8.0,SUV,Niebieski,Stany Zjednoczone,Tak,Używane
2022,28144.0,Benzyna,185000.0,Audi,S3,310.0,Automatyczna,4X4,4.947841306884481,9.0,Kompakt,Czerwony,Polska,Tak,Używane
2012,299000.0,Diesel,32000.0,Audi,A4,143.0,Manualna,4X4,4.947841306884481,7.473995451099318,Kombi,Czarny,Polska,Nie,Używane
2000,234126.0,Benzyna+LPG,7200.0,Audi,A3,125.0,Manualna,Front,4.947841306884481,7.473995451099318,Kompakt,Srebrny,Niemcy,Tak,Używane
2023,6200.0,Benzyna,146000.0,Audi,A3,150.0,Automatyczna,Front,4.947841306884481,6.0,Auta miejskie,Srebrny,Polska,Tak,Używane
2012,145723.0,Diesel,64900.0,Audi,Q3,177.0,Automatyczna,4X4,4.947841306884481,7.0,SUV,Szary,Polska,Nie,Używane
2013,239000.0,Diesel,55800.0,Audi,Q3,140.0,Manualna,Front,4.0,6.0,SUV,Złoty,Polska,Tak,Używane
2019,86000.0,Diesel,86999.0,Audi,A3,116.0,Automatyczna,Front,3.7,4.2,Kompakt,Czarny,Belgia,Tak,Używane
